Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
1011;9705;5065;4645;760;1095;3310;2755;1780;60;30;20
1012;8600;4720;3880;410;1305;4405;1720;755;50;40;20
1013;21395;10710;10690;2490;1765;7890;6075;3180;50;20;20
1014;2175;1135;1040;435;130;1040;475;100;60;20;10
1015;14865;7535;7330;1205;1625;5290;4235;2510;60;30;10
1016;10980;5675;5305;770;1130;4310;2905;1860;50;30;10
1017;12730;6700;6030;1145;1590;5120;3120;1755;50;30;10
1018;21110;10830;10280;2075;2625;7270;5860;3280;50;20;20
1019;18980;9585;9395;2680;1995;5840;6520;1940;60;20;20
1021;7040;3605;3435;1020;825;2440;1880;880;40;20;50
1022;3445;1760;1690;805;300;1410;720;210;50;20;30
1023;4690;2195;2495;800;435;1030;1420;1010;80;10;10
1024;13190;6450;6740;2815;1775;4000;3040;1565;30;10;60
1025;15620;7590;8030;2290;2315;4205;3685;3130;50;10;40
1026;535;275;260;105;60;90;185;95;80;10;0
1027;535;290;245;80;50;120;165;120;90;10;0
1028;615;310;305;110;65;90;210;140;90;10;0
1031;6555;3310;3250;1060;655;2500;1690;650;50;10;40
1032;5915;2975;2940;1060;495;1885;1640;835;60;10;30
1033;12725;6160;6570;1650;1615;4195;3190;2075;60;10;20
1034;14970;7320;7650;2830;1905;4255;3635;2350;40;10;50
1035;10735;5160;5575;2040;1315;2605;3090;1685;60;10;30
1036;2540;1265;1280;805;275;875;520;60;50;10;40
1037;140;75;65;15;15;15;60;35;80;10;10
1041;15;10;5;-99997;-99997;-99997;-99997;-99997;40;-99997;50
1042;25;15;10;-99997;5;10;-99997;-99997;70;-99997;20
1043;725;400;325;-99997;320;380;20;-99997;20;50;30
1044;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1045;15;10;-99997;-99997;-99997;-99997;5;-99997;60;-99997;-99997
